"Name", "Stmts", "Miss", "Cover"
"botracked/__init__.py", "9", "0", "100%"
"botracked/core/__init__.py", "9", "0", "100%"
"botracked/core/model/__init__.py", "9", "0", "100%"
"botracked/core/model/connection_params.py", "29", "5", "83%"
"botracked/core/model/dsl/__init__.py", "9", "0", "100%"
"botracked/core/model/dsl/ast_instruction.py", "33", "9", "73%"
"botracked/core/model/dsl/compiled_step.py", "23", "2", "91%"
"botracked/core/model/dsl/token.py", "22", "2", "91%"
"botracked/core/model/dsl/token_type.py", "30", "0", "100%"
"botracked/core/model/motion_command.py", "29", "7", "76%"
"botracked/core/model/protocol_opcode.py", "30", "3", "90%"
"botracked/core/model/telemetry_data.py", "71", "35", "51%"
"botracked/core/service/__init__.py", "9", "0", "100%"
"botracked/core/service/bot_motion_service.py", "55", "13", "76%"
"botracked/core/service/bot_service.py", "68", "17", "75%"
"botracked/core/service/bot_telemetry_service.py", "60", "25", "58%"
"botracked/core/service/communication/__init__.py", "9", "0", "100%"
"botracked/core/service/communication/ibinary_codec.py", "14", "14", "0%"
"botracked/core/service/communication/ibot_transport.py", "18", "18", "0%"
"botracked/core/service/communication/icrc8_calculator.py", "14", "14", "0%"
"botracked/core/service/communication/itelemetry_observer.py", "16", "0", "100%"
"botracked/core/service/dsl/__init__.py", "9", "0", "100%"
"botracked/core/service/dsl/itbot_compiler.py", "16", "16", "0%"
"botracked/core/service/dsl/itbot_dsl_service.py", "15", "15", "0%"
"botracked/core/service/dsl/itbot_lexer.py", "15", "15", "0%"
"botracked/core/service/dsl/itbot_parser.py", "16", "16", "0%"
"botracked/core/service/dsl/tbot_compiler.py", "67", "8", "88%"
"botracked/core/service/dsl/tbot_dsl_service.py", "35", "0", "100%"
"botracked/core/service/dsl/tbot_lexer.py", "67", "4", "94%"
"botracked/core/service/dsl/tbot_parser.py", "112", "20", "82%"
"botracked/core/service/ibot_connection_service.py", "16", "0", "100%"
"botracked/core/service/ibot_mission_service.py", "18", "0", "100%"
"botracked/core/service/ibot_motion_service.py", "20", "0", "100%"
"botracked/core/service/ibot_service.py", "20", "0", "100%"
"botracked/core/service/ibot_telemetry_service.py", "18", "0", "100%"
